Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,48.32%,51.68%,3.03 : 1,2.31 : 1,55.10%,46.93%,"22,073","21,264",48.32%,51.68%,49.79%,51.16%,4.29%,1.59%,4.63%,8.62%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,43.65%,56.35%,2.85 : 1,2.44 : 1,54.81%,59.51%,"20,255","32,492",43.65%,56.35%,49.79%,50.06%,4.29%,1.78%,4.63%,2.51%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,50.30%,49.70%,2.87 : 1,2.35 : 1,53.77%,50.52%,"20,792","21,444",50.30%,49.70%,49.79%,50.47%,4.29%,7.02%,4.63%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,49.64%,50.36%,2.87 : 1,2.51 : 1,53.37%,50.39%,"20,121","21,452",49.64%,50.36%,49.79%,51.18%,4.29%,7.33%,4.63%,5.62%
kindred,46.75%,53.25%,2.67 : 1,2.41 : 1,52.26%,53.52%,"17,492","22,549",46.75%,53.25%,49.79%,50.62%,4.29%,3.62%,4.63%,4.03%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,48.04%,51.96%,2.73 : 1,2.97 : 1,54.53%,56.09%,"19,299","19,073",48.04%,51.96%,49.79%,50.87%,4.29%,16.52%,4.63%,20.38%
leona,,,,,,,,,,,,,,,,
lillia,50.00%,50.00%,2.82 : 1,2.78 : 1,53.83%,52.36%,"21,367","22,042",50.00%,50.00%,49.79%,49.36%,4.29%,3.15%,4.63%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,
