Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jarvaniv,49.59%,50.41%,2.87 : 1,3.42 : 1,54.88%,65.16%,"20,317","18,079",49.59%,50.41%,51.07%,51.86%,7.00%,7.16%,10.87%,3.05%
jax,56.83%,43.17%,3.12 : 1,2.41 : 1,55.26%,51.87%,"20,252","18,352",56.83%,43.17%,51.07%,51.21%,7.00%,1.59%,10.87%,8.63%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,45.27%,54.73%,3.01 : 1,2.49 : 1,54.74%,61.41%,"19,744","31,909",45.27%,54.73%,51.07%,50.09%,7.00%,1.78%,10.87%,2.50%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,50.45%,49.55%,2.89 : 1,2.38 : 1,53.04%,51.56%,"20,756","20,660",50.45%,49.55%,51.07%,50.45%,7.00%,7.03%,10.87%,7.75%
kennen,,,,,,,,,,,,,,,,
khazix,52.64%,47.36%,2.93 : 1,2.69 : 1,53.47%,51.85%,"20,315","21,731",52.64%,47.36%,51.07%,51.18%,7.00%,7.34%,10.87%,5.62%
kindred,53.99%,46.01%,2.99 : 1,2.38 : 1,53.89%,54.78%,"18,986","21,863",53.99%,46.01%,51.07%,50.65%,7.00%,3.62%,10.87%,4.02%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,50.63%,49.37%,2.93 : 1,3.11 : 1,56.13%,58.34%,"19,823","17,998",50.63%,49.37%,51.07%,50.86%,7.00%,16.45%,10.87%,20.25%
leona,,,,,,,,,,,,,,,,
lillia,53.26%,46.74%,3.06 : 1,2.97 : 1,54.82%,55.25%,"22,151","23,403",53.26%,46.74%,51.07%,49.37%,7.00%,3.14%,10.87%,2.79%
lissandra,,,,,,,,,,,,,,,,
