Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,50.26%,49.74%,3.09 : 1,2.50 : 1,55.14%,48.45%,"21,124","18,982",50.26%,49.74%,51.52%,51.16%,6.36%,1.59%,4.77%,8.62%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,54.67%,45.33%,2.93 : 1,2.42 : 1,51.36%,58.31%,"21,824","33,867",54.67%,45.33%,51.52%,50.06%,6.36%,1.78%,4.77%,2.51%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,48.58%,51.42%,2.76 : 1,2.41 : 1,51.18%,50.02%,"22,094","22,384",48.58%,51.42%,51.52%,50.47%,6.36%,7.02%,4.77%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,47.27%,52.73%,2.61 : 1,2.78 : 1,51.19%,50.90%,"20,391","22,988",47.27%,52.73%,51.52%,51.18%,6.36%,7.33%,4.77%,5.62%
kindred,53.48%,46.52%,2.86 : 1,2.43 : 1,52.18%,54.32%,"19,931","23,162",53.48%,46.52%,51.52%,50.62%,6.36%,3.62%,4.77%,4.03%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,47.08%,52.92%,2.70 : 1,3.07 : 1,54.51%,56.18%,"20,481","19,357",47.08%,52.92%,51.52%,50.87%,6.36%,16.52%,4.77%,20.38%
leona,,,,,,,,,,,,,,,,
lillia,58.10%,41.90%,2.98 : 1,2.61 : 1,51.92%,51.47%,"22,068","21,738",58.10%,41.90%,51.52%,49.36%,6.36%,3.15%,4.77%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,
