Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
shyvana,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,
sona,41.43%,58.57%,48.20%,51.80%,2.21 : 1,3.32 : 1,49.07%,59.04%,41.43%,58.57%,50.52%,52.60%,2.43%,3.18%,2.05%,0.26%
soraka,46.93%,53.07%,48.22%,51.78%,2.24 : 1,3.05 : 1,47.89%,55.65%,46.93%,53.07%,50.54%,51.37%,2.43%,5.29%,2.05%,2.48%
swain,53.51%,46.49%,48.03%,51.97%,2.18 : 1,2.33 : 1,50.07%,52.88%,53.51%,46.49%,50.54%,48.63%,2.43%,1.81%,2.05%,0.78%
sylas,50.00%,50.00%,52.53%,47.47%,2.42 : 1,1.95 : 1,51.62%,50.75%,50.00%,50.00%,50.54%,48.39%,2.43%,1.10%,2.05%,9.12%
syndra,,,,,,,,,,,,,,,,
tahmkench,48.18%,51.82%,50.00%,50.00%,2.19 : 1,2.47 : 1,49.69%,48.82%,48.18%,51.82%,50.54%,49.30%,2.43%,1.87%,2.05%,0.99%
taliyah,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,
taric,44.44%,55.56%,49.19%,50.81%,2.16 : 1,3.04 : 1,53.68%,59.35%,44.44%,55.56%,50.52%,52.31%,2.43%,1.27%,2.05%,0.17%
teemo,66.67%,33.33%,63.92%,36.08%,3.03 : 1,1.37 : 1,48.08%,43.54%,66.67%,33.33%,50.52%,49.31%,2.43%,0.52%,2.05%,3.27%
thresh,47.30%,52.70%,48.15%,51.85%,2.21 : 1,2.72 : 1,51.42%,54.73%,47.30%,52.70%,50.54%,51.36%,2.43%,11.79%,2.05%,5.42%
tristana,,,,,,,,,,,,,,,,
trundle,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,
twistedfate,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,
urgot,,,,,,,,,,,,,,,,
varus,,,,,,,,,,,,,,,,
vayne,,,,,,,,,,,,,,,,
veigar,,,,,,,,,,,,,,,,
velkoz,45.61%,54.39%,43.77%,56.23%,1.89 : 1,2.39 : 1,44.33%,47.86%,45.61%,54.39%,50.54%,50.26%,2.43%,2.57%,2.05%,0.81%
vex,,,,,,,,,,,,,,,,
vi,,,,,,,,,,,,,,,,
viego,,,,,,,,,,,,,,,,
viktor,,,,,,,,,,,,,,,,
vladimir,,,,,,,,,,,,,,,,
volibear,,,,,,,,,,,,,,,,
warwick,,,,,,,,,,,,,,,,
