Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
rell,47.74%,52.26%,46.70%,53.30%,2.37 : 1,3.06 : 1,57.00%,65.34%,47.74%,52.26%,49.57%,51.25%,9.34%,5.51%,13.35%,2.71%
renata,44.50%,55.50%,47.80%,52.20%,2.39 : 1,3.21 : 1,55.09%,61.18%,44.50%,55.50%,49.57%,49.39%,9.34%,1.45%,13.35%,0.20%
renekton,,,,,,,,,,,,,,,,
rengar,,,,,,,,,,,,,,,,
riven,,,,,,,,,,,,,,,,
rumble,,,,,,,,,,,,,,,,
ryze,,,,,,,,,,,,,,,,
samira,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,
senna,53.87%,46.13%,55.81%,44.19%,2.74 : 1,2.67 : 1,55.01%,61.56%,53.87%,46.13%,49.57%,48.93%,9.34%,3.84%,13.35%,8.21%
seraphine,48.38%,51.62%,48.33%,51.67%,2.42 : 1,2.91 : 1,53.01%,59.88%,48.38%,51.62%,49.57%,49.78%,9.34%,2.76%,13.35%,0.40%
sett,,,,,,,,,,,,,,,,
shaco,47.39%,52.61%,52.56%,47.44%,2.45 : 1,2.62 : 1,51.89%,54.54%,47.39%,52.61%,49.57%,50.20%,9.34%,2.18%,13.35%,25.94%
shen,56.25%,43.75%,48.71%,51.29%,2.53 : 1,2.64 : 1,55.94%,58.83%,56.25%,43.75%,49.57%,48.31%,9.34%,0.61%,13.35%,3.29%
shyvana,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,
sona,49.52%,50.48%,54.52%,45.48%,2.69 : 1,2.95 : 1,55.37%,64.24%,49.52%,50.48%,49.57%,52.62%,9.34%,3.15%,13.35%,0.26%
soraka,49.63%,50.37%,50.71%,49.29%,2.58 : 1,2.88 : 1,54.28%,60.10%,49.63%,50.37%,49.57%,51.43%,9.34%,5.27%,13.35%,2.44%
swain,48.88%,51.12%,52.01%,47.99%,2.52 : 1,2.52 : 1,55.51%,57.24%,48.88%,51.12%,49.57%,48.55%,9.34%,1.81%,13.35%,0.77%
sylas,48.67%,51.33%,52.43%,47.57%,2.52 : 1,1.97 : 1,56.92%,54.85%,48.67%,51.33%,49.57%,48.26%,9.34%,1.11%,13.35%,9.19%
syndra,,,,,,,,,,,,,,,,
tahmkench,52.52%,47.48%,51.03%,48.97%,2.44 : 1,2.42 : 1,54.89%,53.70%,52.52%,47.48%,49.57%,49.19%,9.34%,1.86%,13.35%,0.98%
taliyah,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,
taric,47.68%,52.32%,48.19%,51.81%,2.41 : 1,2.81 : 1,55.63%,61.95%,47.68%,52.32%,49.57%,52.19%,9.34%,1.26%,13.35%,0.16%
teemo,51.85%,48.15%,63.39%,36.61%,2.83 : 1,1.76 : 1,54.25%,47.85%,51.85%,48.15%,49.57%,49.10%,9.34%,0.52%,13.35%,3.26%
thresh,47.52%,52.48%,45.07%,54.93%,2.21 : 1,2.93 : 1,55.17%,60.23%,47.52%,52.48%,49.57%,51.42%,9.34%,11.82%,13.35%,5.41%
tristana,,,,,,,,,,,,,,,,
trundle,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,
twistedfate,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,
urgot,,,,,,,,,,,,,,,,
varus,,,,,,,,,,,,,,,,
vayne,,,,,,,,,,,,,,,,
veigar,,,,,,,,,,,,,,,,
