Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jarvaniv,47.92%,52.08%,2.29 : 1,3.54 : 1,50.66%,62.33%,"20,914","18,763",47.92%,52.08%,50.44%,51.88%,7.02%,7.14%,7.74%,3.05%
jax,55.02%,44.98%,2.69 : 1,2.25 : 1,52.17%,46.77%,"22,595","20,111",55.02%,44.98%,50.44%,51.19%,7.02%,1.59%,7.74%,8.62%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,55.63%,44.37%,2.43 : 1,2.44 : 1,49.84%,58.43%,"24,189","35,081",55.63%,44.37%,50.44%,50.08%,7.02%,1.78%,7.74%,2.51%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kennen,,,,,,,,,,,,,,,,
khazix,46.91%,53.09%,2.18 : 1,2.78 : 1,49.15%,50.33%,"21,815","23,861",46.91%,53.09%,50.44%,51.17%,7.02%,7.33%,7.74%,5.62%
kindred,48.56%,51.44%,2.29 : 1,2.46 : 1,48.83%,53.53%,"20,893","24,663",48.56%,51.44%,50.44%,50.63%,7.02%,3.62%,7.74%,4.03%
kled,,,,,,,,,,,,,,,,
