Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
xerath,49.34%,50.66%,51.50%,48.50%,2.40 : 1,2.30 : 1,51.19%,52.88%,49.34%,50.66%,50.76%,49.78%,4.95%,3.09%,12.59%,5.03%
xinzhao,,,,,,,,,,,,,,,,
yasuo,,,,,,,,,,,,,,,,
yone,,,,,,,,,,,,,,,,
yorick,,,,,,,,,,,,,,,,
yuumi,51.46%,48.54%,40.34%,59.66%,2.76 : 1,4.23 : 1,55.39%,64.55%,51.46%,48.54%,50.76%,49.79%,4.95%,7.17%,12.59%,13.17%
zac,,,,,,,,,,,,,,,,
zed,,,,,,,,,,,,,,,,
zeri,,,,,,,,,,,,,,,,
ziggs,,,,,,,,,,,,,,,,
zilean,44.63%,55.37%,51.21%,48.79%,2.42 : 1,3.29 : 1,49.96%,58.80%,44.63%,55.37%,50.76%,52.35%,4.95%,3.11%,12.59%,1.39%
zoe,43.84%,56.16%,51.28%,48.72%,2.18 : 1,2.46 : 1,48.36%,53.52%,43.84%,56.16%,50.76%,49.33%,4.95%,0.83%,12.59%,7.76%
zyra,50.59%,49.41%,50.64%,49.36%,2.49 : 1,2.22 : 1,51.25%,50.90%,50.59%,49.41%,50.76%,50.69%,4.95%,2.41%,12.59%,2.02%
