Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,53.49%,46.51%,2.48 : 1,2.42 : 1,52.09%,50.97%,"20,919","20,708",53.49%,46.51%,52.59%,51.23%,3.97%,1.59%,4.25%,8.61%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,54.73%,45.27%,2.53 : 1,2.37 : 1,51.49%,59.39%,"24,279","36,983",54.73%,45.27%,52.59%,50.05%,3.97%,1.78%,4.25%,2.52%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,52.02%,47.98%,2.44 : 1,2.42 : 1,52.34%,51.57%,"23,671","22,799",52.02%,47.98%,52.59%,50.45%,3.97%,7.01%,4.25%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,53.88%,46.12%,2.47 : 1,2.50 : 1,52.30%,51.09%,"23,180","23,155",53.88%,46.12%,52.59%,51.21%,3.97%,7.32%,4.25%,5.62%
kindred,54.69%,45.31%,2.40 : 1,2.37 : 1,51.39%,55.20%,"21,435","24,809",54.69%,45.31%,52.59%,50.64%,3.97%,3.62%,4.25%,4.04%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,52.93%,47.07%,2.37 : 1,2.90 : 1,54.37%,55.99%,"22,395","19,401",52.93%,47.07%,52.59%,50.87%,3.97%,16.54%,4.25%,20.42%
leona,,,,,,,,,,,,,,,,
lillia,52.63%,47.37%,2.43 : 1,2.72 : 1,52.72%,52.52%,"24,610","23,197",52.63%,47.37%,52.59%,49.35%,3.97%,3.15%,4.25%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,
