Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
senna,54.37%,45.63%,57.02%,42.98%,2.71 : 1,2.54 : 1,52.64%,56.73%,54.37%,45.63%,49.10%,48.93%,4.82%,3.84%,3.16%,8.21%
seraphine,50.13%,49.87%,44.49%,55.51%,2.32 : 1,2.85 : 1,51.37%,55.38%,50.13%,49.87%,49.10%,49.78%,4.82%,2.76%,3.16%,0.40%
sett,,,,,,,,,,,,,,,,
shaco,50.87%,49.13%,53.67%,46.33%,2.36 : 1,2.21 : 1,50.45%,49.01%,50.87%,49.13%,49.10%,50.20%,4.82%,2.18%,3.16%,25.94%
shen,49.09%,50.91%,45.71%,54.29%,2.54 : 1,2.55 : 1,53.72%,53.08%,49.09%,50.91%,49.10%,48.31%,4.82%,0.61%,3.16%,3.29%
shyvana,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,
sona,46.76%,53.24%,50.04%,49.96%,2.51 : 1,2.99 : 1,53.01%,59.51%,46.76%,53.24%,49.10%,52.62%,4.82%,3.15%,3.16%,0.26%
soraka,50.41%,49.59%,50.82%,49.18%,2.65 : 1,2.81 : 1,53.31%,54.71%,50.41%,49.59%,49.10%,51.43%,4.82%,5.27%,3.16%,2.44%
swain,47.60%,52.40%,50.64%,49.36%,2.42 : 1,2.23 : 1,52.98%,51.12%,47.60%,52.40%,49.10%,48.55%,4.82%,1.81%,3.16%,0.77%
sylas,51.08%,48.92%,53.35%,46.65%,2.39 : 1,1.78 : 1,53.26%,48.75%,51.08%,48.92%,49.10%,48.26%,4.82%,1.11%,3.16%,9.19%
syndra,,,,,,,,,,,,,,,,
tahmkench,51.14%,48.86%,51.61%,48.39%,2.52 : 1,2.29 : 1,54.99%,48.03%,51.14%,48.86%,49.10%,49.19%,4.82%,1.86%,3.16%,0.98%
taliyah,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,
taric,50.54%,49.46%,48.01%,51.99%,2.76 : 1,2.72 : 1,54.48%,56.46%,50.54%,49.46%,49.10%,52.19%,4.82%,1.26%,3.16%,0.16%
teemo,53.42%,46.58%,64.37%,35.63%,3.04 : 1,1.50 : 1,51.80%,41.41%,53.42%,46.58%,49.10%,49.10%,4.82%,0.52%,3.16%,3.26%
thresh,48.77%,51.23%,48.03%,51.97%,2.41 : 1,2.56 : 1,54.68%,54.02%,48.77%,51.23%,49.10%,51.42%,4.82%,11.82%,3.16%,5.41%
tristana,,,,,,,,,,,,,,,,
trundle,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,
twistedfate,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,
urgot,,,,,,,,,,,,,,,,
