Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
kayn,,,,,,,,,,,,,,,,
kennen,,,,,,,,,,,,,,,,
khazix,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,45.78%,54.22%,51.29%,48.71%,3.07 : 1,2.73 : 1,58.04%,48.45%,45.78%,54.22%,52.38%,50.52%,4.89%,0.78%,1.62%,19.84%
leesin,,,,,,,,,,,,,,,,
leona,51.91%,48.09%,52.64%,47.36%,3.25 : 1,2.62 : 1,60.90%,54.24%,51.91%,48.09%,52.38%,51.28%,4.89%,5.79%,1.62%,4.51%
lillia,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,49.97%,50.03%,49.04%,50.96%,3.46 : 1,3.31 : 1,59.39%,58.32%,49.97%,50.03%,52.38%,51.35%,4.89%,13.12%,1.62%,21.09%
lux,51.60%,48.40%,54.05%,45.95%,3.22 : 1,2.44 : 1,57.25%,52.39%,51.60%,48.40%,52.38%,49.18%,4.89%,4.82%,1.62%,3.16%
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,59.33%,40.67%,59.33%,40.67%,3.63 : 1,2.20 : 1,61.89%,51.50%,59.33%,40.67%,52.38%,50.91%,4.89%,1.53%,1.62%,0.20%
milio,52.00%,48.00%,50.64%,49.36%,3.58 : 1,3.66 : 1,58.17%,57.99%,52.00%,48.00%,52.38%,52.08%,4.89%,8.70%,1.62%,5.40%
missfortune,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,
morgana,55.15%,44.85%,52.46%,47.54%,3.39 : 1,2.51 : 1,59.08%,53.24%,55.15%,44.85%,52.38%,50.45%,4.89%,4.03%,1.62%,10.92%
naafiri,,,,,,,,,,,,,,,,
nami,48.75%,51.25%,49.49%,50.51%,3.28 : 1,3.33 : 1,57.98%,59.68%,48.75%,51.25%,52.38%,52.11%,4.89%,13.39%,1.62%,3.05%
