Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,46.30%,53.70%,2.71 : 1,2.53 : 1,52.10%,48.41%,"21,468","19,530",46.30%,53.70%,52.29%,51.16%,3.04%,1.59%,3.27%,8.62%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,42.14%,57.86%,2.52 : 1,2.80 : 1,50.94%,58.88%,"21,787","34,258",42.14%,57.86%,52.29%,50.06%,3.04%,1.78%,3.27%,2.51%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,55.50%,44.50%,2.85 : 1,2.26 : 1,50.53%,49.82%,"21,926","21,683",55.50%,44.50%,52.29%,50.47%,3.04%,7.02%,3.27%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,50.28%,49.72%,2.82 : 1,2.62 : 1,51.47%,50.18%,"20,829","21,060",50.28%,49.72%,52.29%,51.18%,3.04%,7.33%,3.27%,5.62%
kindred,49.30%,50.70%,2.71 : 1,2.53 : 1,51.91%,55.02%,"22,065","24,371",49.30%,50.70%,52.29%,50.62%,3.04%,3.62%,3.27%,4.03%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,51.58%,48.42%,2.76 : 1,2.92 : 1,52.83%,55.94%,"20,573","18,884",51.58%,48.42%,52.29%,50.87%,3.04%,16.52%,3.27%,20.38%
leona,,,,,,,,,,,,,,,,
lillia,52.34%,47.66%,2.98 : 1,2.77 : 1,52.25%,51.77%,"23,483","23,846",52.34%,47.66%,52.29%,49.36%,3.04%,3.15%,3.27%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
