Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,50.00%,50.00%,4.27 : 1,2.11 : 1,60.04%,45.20%,"11,119","16,351",50.00%,50.00%,51.99%,51.16%,1.45%,1.59%,0.83%,8.62%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,51.58%,48.42%,4.25 : 1,2.21 : 1,57.32%,56.35%,"12,376","29,487",51.58%,48.42%,51.99%,50.06%,1.45%,1.78%,0.83%,2.51%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,52.55%,47.45%,3.99 : 1,2.17 : 1,59.30%,49.87%,"11,797","19,215",52.55%,47.45%,51.99%,50.47%,1.45%,7.02%,0.83%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,50.89%,49.11%,3.81 : 1,2.51 : 1,58.66%,50.51%,"11,005","20,204",50.89%,49.11%,51.99%,51.18%,1.45%,7.33%,0.83%,5.62%
kindred,53.60%,46.40%,3.78 : 1,2.09 : 1,59.36%,49.64%,"10,277","17,509",53.60%,46.40%,51.99%,50.62%,1.45%,3.62%,0.83%,4.03%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,50.30%,49.70%,3.72 : 1,2.84 : 1,61.74%,55.02%,"11,710","17,001",50.30%,49.70%,51.99%,50.87%,1.45%,16.52%,0.83%,20.38%
leona,,,,,,,,,,,,,,,,
lillia,61.19%,38.81%,4.32 : 1,2.69 : 1,60.49%,53.50%,"11,544","20,291",61.19%,38.81%,51.99%,49.36%,1.45%,3.15%,0.83%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,
