Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
shyvana,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,
sona,45.00%,55.00%,41.65%,58.35%,2.17 : 1,3.30 : 1,48.32%,63.51%,45.00%,55.00%,51.85%,52.62%,2.96%,3.15%,6.73%,0.26%
soraka,48.99%,51.01%,45.02%,54.98%,2.33 : 1,3.08 : 1,51.24%,59.71%,48.99%,51.01%,51.85%,51.43%,2.96%,5.27%,6.73%,2.44%
swain,46.83%,53.17%,44.46%,55.54%,2.26 : 1,2.74 : 1,52.30%,55.84%,46.83%,53.17%,51.85%,48.55%,2.96%,1.81%,6.73%,0.77%
sylas,62.50%,37.50%,57.28%,42.72%,2.80 : 1,1.63 : 1,53.87%,50.16%,62.50%,37.50%,51.85%,48.26%,2.96%,1.11%,6.73%,9.19%
syndra,,,,,,,,,,,,,,,,
tahmkench,48.85%,51.15%,45.36%,54.64%,2.19 : 1,2.41 : 1,49.81%,51.31%,48.85%,51.15%,51.85%,49.19%,2.96%,1.86%,6.73%,0.98%
taliyah,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,
taric,49.32%,50.68%,43.12%,56.88%,2.49 : 1,2.76 : 1,54.24%,60.30%,49.32%,50.68%,51.85%,52.19%,2.96%,1.26%,6.73%,0.16%
teemo,48.48%,51.52%,51.77%,48.23%,2.22 : 1,1.89 : 1,49.54%,47.63%,48.48%,51.52%,51.85%,49.10%,2.96%,0.52%,6.73%,3.26%
thresh,52.06%,47.94%,42.18%,57.82%,2.21 : 1,2.88 : 1,51.24%,58.47%,52.06%,47.94%,51.85%,51.42%,2.96%,11.82%,6.73%,5.41%
tristana,,,,,,,,,,,,,,,,
trundle,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,
twistedfate,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,
urgot,,,,,,,,,,,,,,,,
varus,,,,,,,,,,,,,,,,
vayne,,,,,,,,,,,,,,,,
veigar,,,,,,,,,,,,,,,,
velkoz,62.90%,37.10%,44.49%,55.51%,2.44 : 1,2.20 : 1,48.29%,51.79%,62.90%,37.10%,51.85%,50.13%,2.96%,2.57%,6.73%,0.81%
vex,,,,,,,,,,,,,,,,
vi,,,,,,,,,,,,,,,,
viego,,,,,,,,,,,,,,,,
viktor,,,,,,,,,,,,,,,,
vladimir,,,,,,,,,,,,,,,,
volibear,,,,,,,,,,,,,,,,
warwick,,,,,,,,,,,,,,,,
