Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,62.07%,37.93%,2.94 : 1,2.17 : 1,52.04%,48.51%,"18,921","20,359",62.07%,37.93%,49.89%,51.23%,1.98%,1.59%,1.30%,8.61%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,53.33%,46.67%,2.42 : 1,2.71 : 1,47.47%,61.74%,"18,037","37,755",53.33%,46.67%,49.89%,50.05%,1.98%,1.78%,1.30%,2.52%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,48.40%,51.60%,2.54 : 1,2.35 : 1,49.43%,50.92%,"17,757","21,902",48.40%,51.60%,49.89%,50.45%,1.98%,7.01%,1.30%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,46.18%,53.82%,2.25 : 1,2.80 : 1,48.48%,50.62%,"16,723","21,898",46.18%,53.82%,49.89%,51.21%,1.98%,7.32%,1.30%,5.62%
kindred,52.90%,47.10%,2.62 : 1,2.35 : 1,51.57%,54.38%,"16,500","23,756",52.90%,47.10%,49.89%,50.64%,1.98%,3.62%,1.30%,4.04%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,50.93%,49.07%,2.36 : 1,2.90 : 1,50.74%,55.65%,"17,024","19,358",50.93%,49.07%,49.89%,50.87%,1.98%,16.54%,1.30%,20.42%
leona,,,,,,,,,,,,,,,,
lillia,48.34%,51.66%,2.30 : 1,3.03 : 1,47.80%,53.37%,"17,282","23,895",48.34%,51.66%,49.89%,49.35%,1.98%,3.15%,1.30%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,
