Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
senna,52.98%,47.02%,55.69%,44.31%,2.52 : 1,2.74 : 1,51.17%,60.69%,52.98%,47.02%,49.26%,48.93%,1.87%,3.84%,0.98%,8.18%
seraphine,47.50%,52.50%,46.03%,53.97%,2.27 : 1,3.13 : 1,48.96%,59.50%,47.50%,52.50%,49.26%,49.76%,1.87%,2.76%,0.98%,0.40%
sett,,,,,,,,,,,,,,,,
shaco,42.70%,57.30%,52.48%,47.52%,2.30 : 1,2.47 : 1,50.42%,51.39%,42.70%,57.30%,49.26%,50.27%,1.87%,2.17%,0.98%,25.90%
shen,50.00%,50.00%,48.99%,51.01%,2.50 : 1,2.30 : 1,52.78%,56.30%,50.00%,50.00%,49.26%,48.25%,1.87%,0.61%,0.98%,3.29%
shyvana,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,
sona,52.38%,47.62%,58.31%,41.69%,2.74 : 1,2.84 : 1,49.91%,63.23%,52.38%,47.62%,49.26%,52.53%,1.87%,3.15%,0.98%,0.26%
soraka,44.92%,55.08%,50.21%,49.79%,2.44 : 1,3.06 : 1,49.95%,58.20%,44.92%,55.08%,49.26%,51.46%,1.87%,5.27%,0.98%,2.45%
swain,45.92%,54.08%,46.08%,53.92%,2.25 : 1,2.77 : 1,53.95%,56.44%,45.92%,54.08%,49.26%,48.63%,1.87%,1.81%,0.98%,0.77%
sylas,47.46%,52.54%,51.46%,48.54%,2.36 : 1,1.97 : 1,54.70%,50.81%,47.46%,52.54%,49.26%,48.34%,1.87%,1.11%,0.98%,9.17%
syndra,,,,,,,,,,,,,,,,
taliyah,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,
