Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jarvaniv,47.59%,52.41%,2.79 : 1,3.52 : 1,53.06%,64.51%,"19,448","17,905",47.59%,52.41%,50.15%,51.86%,3.62%,7.16%,13.60%,3.05%
jax,62.93%,37.07%,3.74 : 1,2.06 : 1,54.62%,47.73%,"20,404","17,868",62.93%,37.07%,50.15%,51.21%,3.62%,1.59%,13.60%,8.63%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,53.06%,46.94%,3.61 : 1,2.22 : 1,53.35%,57.14%,"20,046","28,405",53.06%,46.94%,50.15%,50.09%,3.62%,1.78%,13.60%,2.50%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,45.30%,54.70%,2.72 : 1,2.60 : 1,51.67%,51.38%,"20,364","22,929",45.30%,54.70%,50.15%,50.45%,3.62%,7.03%,13.60%,7.75%
kennen,,,,,,,,,,,,,,,,
khazix,53.65%,46.35%,3.13 : 1,2.49 : 1,52.20%,49.59%,"20,967","20,151",53.65%,46.35%,50.15%,51.18%,3.62%,7.34%,13.60%,5.62%
kindred,49.50%,50.50%,3.06 : 1,2.35 : 1,52.68%,52.90%,"20,011","22,325",49.50%,50.50%,50.15%,50.65%,3.62%,3.62%,13.60%,4.02%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,50.45%,49.55%,3.37 : 1,3.00 : 1,56.64%,56.05%,"20,033","17,328",50.45%,49.55%,50.15%,50.86%,3.62%,16.45%,13.60%,20.25%
leona,,,,,,,,,,,,,,,,
lillia,50.58%,49.42%,3.00 : 1,3.07 : 1,50.84%,53.32%,"20,306","21,974",50.58%,49.42%,50.15%,49.37%,3.62%,3.14%,13.60%,2.79%
lissandra,,,,,,,,,,,,,,,,
