Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
senna,52.45%,47.55%,58.91%,41.09%,3.73 : 1,2.53 : 1,59.29%,56.30%,52.45%,47.55%,52.29%,48.92%,3.11%,3.85%,1.40%,8.13%
seraphine,53.57%,46.43%,49.45%,50.55%,3.41 : 1,2.75 : 1,57.05%,55.24%,53.57%,46.43%,52.29%,49.87%,3.11%,2.78%,1.40%,0.41%
sett,,,,,,,,,,,,,,,,
shaco,55.43%,44.57%,51.26%,48.74%,3.26 : 1,2.34 : 1,55.44%,50.75%,55.43%,44.57%,52.29%,50.36%,3.11%,2.17%,1.40%,25.84%
shen,59.46%,40.54%,60.58%,39.42%,3.77 : 1,2.19 : 1,58.61%,46.33%,59.46%,40.54%,52.29%,48.20%,3.11%,0.61%,1.40%,3.29%
shyvana,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,
sona,47.26%,52.74%,52.24%,47.76%,3.44 : 1,2.95 : 1,58.23%,61.06%,47.26%,52.74%,52.29%,52.58%,3.11%,3.17%,1.40%,0.26%
soraka,52.38%,47.62%,54.62%,45.38%,3.78 : 1,2.83 : 1,57.62%,56.29%,52.38%,47.62%,52.29%,51.41%,3.11%,5.29%,1.40%,2.47%
swain,58.73%,41.27%,53.29%,46.71%,3.59 : 1,2.25 : 1,59.00%,52.96%,58.73%,41.27%,52.29%,48.66%,3.11%,1.80%,1.40%,0.77%
sylas,50.98%,49.02%,53.67%,46.33%,3.27 : 1,2.05 : 1,59.67%,51.23%,50.98%,49.02%,52.29%,48.39%,3.11%,1.10%,1.40%,9.13%
syndra,,,,,,,,,,,,,,,,
tahmkench,43.24%,56.76%,54.29%,45.71%,3.28 : 1,2.26 : 1,57.29%,45.90%,43.24%,56.76%,52.29%,49.34%,3.11%,1.87%,1.40%,0.99%
taliyah,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,
taric,49.40%,50.60%,49.48%,50.52%,3.36 : 1,2.66 : 1,61.94%,56.90%,49.40%,50.60%,52.29%,52.34%,3.11%,1.27%,1.40%,0.17%
teemo,52.00%,48.00%,65.38%,34.62%,3.98 : 1,1.87 : 1,56.58%,45.03%,52.00%,48.00%,52.29%,49.37%,3.11%,0.52%,1.40%,3.27%
thresh,51.52%,48.48%,48.50%,51.50%,3.13 : 1,2.64 : 1,58.42%,53.54%,51.52%,48.48%,52.29%,51.36%,3.11%,11.78%,1.40%,5.42%
tristana,,,,,,,,,,,,,,,,
trundle,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,
twistedfate,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,
urgot,,,,,,,,,,,,,,,,
varus,,,,,,,,,,,,,,,,
vayne,,,,,,,,,,,,,,,,
veigar,,,,,,,,,,,,,,,,
velkoz,48.51%,51.49%,50.77%,49.23%,3.12 : 1,2.15 : 1,54.46%,45.61%,48.51%,51.49%,52.29%,50.22%,3.11%,2.57%,1.40%,0.81%
vex,,,,,,,,,,,,,,,,
vi,,,,,,,,,,,,,,,,
viego,,,,,,,,,,,,,,,,
viktor,,,,,,,,,,,,,,,,
vladimir,,,,,,,,,,,,,,,,
volibear,,,,,,,,,,,,,,,,
warwick,,,,,,,,,,,,,,,,
