Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,50.47%,49.53%,2.70 : 1,2.38 : 1,52.21%,46.64%,"23,024","18,009",50.47%,49.53%,49.66%,51.16%,5.72%,1.59%,4.44%,8.62%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,52.30%,47.70%,2.72 : 1,2.47 : 1,51.16%,57.21%,"22,985","31,327",52.30%,47.70%,49.66%,50.06%,5.72%,1.78%,4.44%,2.51%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,49.15%,50.85%,2.57 : 1,2.40 : 1,50.65%,49.97%,"23,466","21,411",49.15%,50.85%,49.66%,50.47%,5.72%,7.02%,4.44%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,48.30%,51.70%,2.35 : 1,2.66 : 1,50.45%,49.22%,"22,748","21,921",48.30%,51.70%,49.66%,51.18%,5.72%,7.33%,4.44%,5.62%
kindred,49.24%,50.76%,2.47 : 1,2.38 : 1,50.76%,51.98%,"21,010","22,334",49.24%,50.76%,49.66%,50.62%,5.72%,3.62%,4.44%,4.03%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,48.20%,51.80%,2.46 : 1,2.91 : 1,52.69%,53.92%,"22,071","18,116",48.20%,51.80%,49.66%,50.87%,5.72%,16.52%,4.44%,20.38%
leona,,,,,,,,,,,,,,,,
lillia,51.77%,48.23%,2.73 : 1,2.78 : 1,52.81%,50.22%,"23,800","20,994",51.77%,48.23%,49.66%,49.36%,5.72%,3.15%,4.44%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,
