Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,48.35%,51.65%,3.19 : 1,2.61 : 1,54.31%,49.40%,"22,255","18,191",48.35%,51.65%,51.00%,51.16%,2.68%,1.59%,3.73%,8.62%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,56.30%,43.70%,2.92 : 1,2.41 : 1,50.10%,57.93%,"22,536","33,209",56.30%,43.70%,51.00%,50.06%,2.68%,1.78%,3.73%,2.51%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,50.99%,49.01%,2.97 : 1,2.35 : 1,51.33%,49.65%,"24,128","22,019",50.99%,49.01%,51.00%,50.47%,2.68%,7.02%,3.73%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,49.48%,50.52%,2.61 : 1,2.75 : 1,50.60%,50.31%,"22,348","22,337",49.48%,50.52%,51.00%,51.18%,2.68%,7.33%,3.73%,5.62%
kindred,55.11%,44.89%,2.73 : 1,2.35 : 1,50.49%,53.67%,"22,264","23,102",55.11%,44.89%,51.00%,50.62%,2.68%,3.62%,3.73%,4.03%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,50.06%,49.94%,2.86 : 1,2.85 : 1,53.27%,54.52%,"21,869","18,657",50.06%,49.94%,51.00%,50.87%,2.68%,16.52%,3.73%,20.38%
leona,,,,,,,,,,,,,,,,
lillia,47.85%,52.15%,2.84 : 1,2.89 : 1,53.16%,50.96%,"24,095","22,068",47.85%,52.15%,51.00%,49.36%,2.68%,3.15%,3.73%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,
