Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,46.60%,53.40%,2.40 : 1,2.76 : 1,53.11%,50.11%,"21,356","20,317",46.60%,53.40%,51.16%,51.23%,5.33%,1.59%,6.00%,8.61%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,59.55%,40.45%,2.67 : 1,2.38 : 1,50.33%,59.84%,"22,502","32,144",59.55%,40.45%,51.16%,50.06%,5.33%,1.78%,6.00%,2.51%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,50.26%,49.74%,2.45 : 1,2.60 : 1,51.21%,51.30%,"22,385","21,476",50.26%,49.74%,51.17%,50.47%,5.32%,7.02%,6.00%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,50.53%,49.47%,2.23 : 1,2.87 : 1,50.01%,51.69%,"21,513","22,460",50.53%,49.47%,51.16%,51.18%,5.33%,7.33%,6.00%,5.62%
kindred,46.04%,53.96%,2.24 : 1,2.61 : 1,50.76%,54.40%,"19,934","22,812",46.04%,53.96%,51.17%,50.62%,5.32%,3.62%,6.00%,4.03%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,51.63%,48.37%,2.44 : 1,3.07 : 1,53.66%,56.42%,"21,533","18,722",51.63%,48.37%,51.16%,50.87%,5.33%,16.52%,6.00%,20.38%
leona,,,,,,,,,,,,,,,,
lillia,52.00%,48.00%,2.47 : 1,3.02 : 1,51.85%,52.08%,"23,579","21,913",52.00%,48.00%,51.16%,49.36%,5.33%,3.15%,6.00%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
