Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
karthus,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,,,,,,,,,,,,,,,,
kennen,,,,,,,,,,,,,,,,
khazix,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,52.63%,47.37%,44.35%,55.65%,2.41 : 1,2.51 : 1,50.74%,52.84%,52.63%,47.37%,51.29%,50.59%,5.79%,0.77%,4.52%,19.79%
leesin,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,50.00%,50.00%,46.66%,53.34%,2.56 : 1,3.12 : 1,53.95%,60.33%,50.00%,50.00%,51.29%,51.34%,5.79%,13.11%,4.52%,21.11%
lux,49.12%,50.88%,49.55%,50.45%,2.49 : 1,2.52 : 1,51.94%,55.47%,49.12%,50.88%,51.29%,49.15%,5.79%,4.82%,4.52%,3.16%
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,57.51%,42.49%,54.26%,45.74%,2.76 : 1,2.34 : 1,57.48%,55.49%,57.51%,42.49%,51.29%,50.90%,5.79%,1.53%,4.52%,0.20%
milio,48.16%,51.84%,43.23%,56.77%,2.52 : 1,3.69 : 1,51.96%,61.85%,48.16%,51.84%,51.29%,52.11%,5.79%,8.70%,4.52%,5.41%
missfortune,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,
morgana,47.59%,52.41%,40.38%,59.62%,2.29 : 1,2.89 : 1,51.35%,57.47%,47.59%,52.41%,51.29%,50.45%,5.79%,4.03%,4.52%,10.93%
naafiri,,,,,,,,,,,,,,,,
nami,47.48%,52.52%,44.55%,55.45%,2.46 : 1,3.42 : 1,52.50%,62.58%,47.48%,52.52%,51.29%,52.11%,5.79%,13.41%,4.52%,3.06%
