Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
jax,50.00%,50.00%,2.88 : 1,2.31 : 1,54.73%,46.91%,"15,676","16,348",50.00%,50.00%,51.17%,51.23%,1.95%,1.59%,3.81%,8.61%
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,
karthus,48.65%,51.35%,2.87 : 1,2.38 : 1,51.13%,56.21%,"16,784","30,152",48.65%,51.35%,51.17%,50.05%,1.95%,1.78%,3.81%,2.52%
kassadin,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,
kayle,,,,,,,,,,,,,,,,
kayn,52.36%,47.64%,2.86 : 1,2.23 : 1,51.59%,47.84%,"17,266","19,387",52.36%,47.64%,51.17%,50.45%,1.95%,7.01%,3.81%,7.73%
kennen,,,,,,,,,,,,,,,,
khazix,51.76%,48.24%,2.63 : 1,2.65 : 1,50.65%,51.02%,"15,697","19,964",51.76%,48.24%,51.17%,51.21%,1.95%,7.32%,3.81%,5.62%
kindred,46.27%,53.73%,2.62 : 1,2.62 : 1,50.81%,53.85%,"15,144","21,756",46.27%,53.73%,51.17%,50.64%,1.95%,3.62%,3.81%,4.04%
kled,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,
leblanc,,,,,,,,,,,,,,,,
leesin,51.74%,48.26%,2.68 : 1,2.96 : 1,52.47%,55.60%,"15,997","17,592",51.74%,48.26%,51.17%,50.87%,1.95%,16.54%,3.81%,20.42%
leona,,,,,,,,,,,,,,,,
lillia,53.33%,46.67%,2.69 : 1,3.25 : 1,51.57%,53.81%,"16,276","20,177",53.33%,46.67%,51.17%,49.35%,1.95%,3.15%,3.81%,2.79%
lissandra,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,
malphite,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,
