Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
renata,49.73%,50.27%,48.87%,51.13%,3.01 : 1,2.95 : 1,59.53%,56.09%,49.73%,50.27%,51.46%,49.39%,5.27%,1.45%,2.45%,0.19%
renekton,,,,,,,,,,,,,,,,
rengar,,,,,,,,,,,,,,,,
riven,,,,,,,,,,,,,,,,
rumble,,,,,,,,,,,,,,,,
ryze,,,,,,,,,,,,,,,,
samira,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,
senna,50.36%,49.64%,54.16%,45.84%,3.08 : 1,2.91 : 1,57.93%,58.70%,50.36%,49.64%,51.46%,48.93%,5.27%,3.84%,2.45%,8.18%
seraphine,53.50%,46.50%,48.20%,51.80%,2.96 : 1,2.91 : 1,57.31%,56.28%,53.50%,46.50%,51.46%,49.76%,5.27%,2.76%,2.45%,0.40%
sett,,,,,,,,,,,,,,,,
shaco,53.79%,46.21%,55.02%,44.98%,2.99 : 1,2.33 : 1,56.64%,50.75%,53.79%,46.21%,51.46%,50.27%,5.27%,2.17%,2.45%,25.90%
shen,54.72%,45.28%,50.61%,49.39%,2.97 : 1,2.37 : 1,57.96%,52.10%,54.72%,45.28%,51.46%,48.25%,5.27%,0.61%,2.45%,3.29%
shyvana,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,
smolder,,,,,,,,,,,,,,,,
sona,51.09%,48.91%,51.02%,48.98%,3.05 : 1,3.21 : 1,57.24%,61.38%,51.09%,48.91%,51.46%,52.53%,5.27%,3.15%,2.45%,0.26%
swain,52.63%,47.37%,54.72%,45.28%,3.10 : 1,2.38 : 1,59.90%,53.75%,52.63%,47.37%,51.46%,48.63%,5.27%,1.81%,2.45%,0.77%
sylas,50.00%,50.00%,56.72%,43.28%,3.13 : 1,2.01 : 1,61.79%,52.04%,50.00%,50.00%,51.46%,48.34%,5.27%,1.11%,2.45%,9.17%
syndra,,,,,,,,,,,,,,,,
tahmkench,55.08%,44.92%,49.79%,50.21%,3.06 : 1,2.44 : 1,58.20%,49.95%,55.08%,44.92%,51.46%,49.26%,5.27%,1.87%,2.45%,0.98%
taliyah,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,,,,,,
taric,51.90%,48.10%,48.50%,51.50%,3.02 : 1,2.97 : 1,60.01%,60.10%,51.90%,48.10%,51.46%,52.30%,5.27%,1.27%,2.45%,0.16%
teemo,49.18%,50.82%,55.74%,44.26%,3.58 : 1,1.86 : 1,56.54%,45.85%,49.18%,50.82%,51.46%,49.18%,5.27%,0.52%,2.45%,3.27%
thresh,48.33%,51.67%,45.43%,54.57%,2.71 : 1,2.95 : 1,58.98%,57.00%,48.33%,51.67%,51.46%,51.38%,5.27%,11.81%,2.45%,5.41%
tristana,,,,,,,,,,,,,,,,
trundle,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,
twistedfate,,,,,,,,,,,,,,,,
twitch,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,
urgot,,,,,,,,,,,,,,,,
varus,,,,,,,,,,,,,,,,
vayne,,,,,,,,,,,,,,,,
veigar,,,,,,,,,,,,,,,,
velkoz,51.03%,48.97%,49.70%,50.30%,2.92 : 1,2.33 : 1,55.81%,49.72%,51.03%,48.97%,51.46%,50.18%,5.27%,2.58%,2.45%,0.81%
vex,,,,,,,,,,,,,,,,
vi,,,,,,,,,,,,,,,,
viego,,,,,,,,,,,,,,,,
viktor,,,,,,,,,,,,,,,,
vladimir,,,,,,,,,,,,,,,,
volibear,,,,,,,,,,,,,,,,
warwick,,,,,,,,,,,,,,,,
wukong,48.51%,51.49%,42.61%,57.39%,2.84 : 1,3.56 : 1,57.00%,60.78%,48.51%,51.49%,51.46%,52.10%,5.27%,13.50%,2.45%,3.08%
xayah,,,,,,,,,,,,,,,,
xerath,55.80%,44.20%,47.18%,52.82%,2.83 : 1,2.53 : 1,55.11%,52.07%,55.80%,44.20%,51.46%,49.74%,5.27%,3.07%,2.45%,4.98%
xinzhao,,,,,,,,,,,,,,,,
yasuo,,,,,,,,,,,,,,,,
yone,,,,,,,,,,,,,,,,
yorick,,,,,,,,,,,,,,,,
yuumi,48.69%,51.31%,35.68%,64.32%,2.74 : 1,4.91 : 1,57.71%,63.42%,48.69%,51.31%,51.46%,49.84%,5.27%,7.16%,2.45%,13.09%
zac,,,,,,,,,,,,,,,,
zed,,,,,,,,,,,,,,,,
zeri,,,,,,,,,,,,,,,,
ziggs,,,,,,,,,,,,,,,,
zilean,47.37%,52.63%,45.05%,54.95%,2.85 : 1,3.80 : 1,56.34%,57.67%,47.37%,52.63%,51.46%,52.32%,5.27%,3.11%,2.45%,1.40%
zoe,56.04%,43.96%,48.74%,51.26%,2.97 : 1,2.29 : 1,55.55%,51.41%,56.04%,43.96%,51.46%,49.11%,5.27%,0.83%,2.45%,7.69%
zyra,53.42%,46.58%,51.64%,48.36%,3.06 : 1,2.24 : 1,55.61%,48.05%,53.42%,46.58%,51.46%,50.58%,5.27%,2.42%,2.45%,2.03%
