,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
rakan,,,,,0.47%,,,,,,,,0.47%,,0.47%,0.47%,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47%,,,,,,,,0.47%,,,,,,,,,,,,,,0.47%,,,,0.47%,0.47%,,,0.47%,0.47%,,,0.47%,,0.47%,,0.47%,0.47%,,,,,,,,,0.47%,0.47%,,,,,,0.47%,0.47%,,,,,,,,,0.47%,,,,,,,,,,0.47%,0.47%,0.47%,,,0.47%,,,0.47%,,0.47%,,,,,,,,,,,0.47%,,,,,,,,,,,,,,,0.47%,,,,,0.47%,,0.47%
rammus,,,,,,2.77%,,,,,,,,2.77%,,,,2.77%,,,,,,,2.78%,,,2.78%,2.78%,2.78%,,2.78%,,,,,,,,2.78%,,2.78%,,,,,2.78%,,2.78%,,,,,,,,2.78%,,,,2.78%,,2.78%,2.78%,,,,,2.78%,,2.78%,,,,,,,,,,,,2.79%,,,,,2.79%,,2.79%,2.79%,,,,2.79%,,,,,,,2.79%,,,,2.79%,,,,,2.79%,,,,2.79%,,2.79%,,,,2.80%,,,,,,,,,2.80%,,,,,2.80%,,,,2.81%,,,,,,,2.82%,2.82%,,,2.82%,2.82%,,,,2.82%,,,,,2.82%,2.82%,,,,,
reksai,,,,,,0.38%,,,,,,,,0.38%,,,,0.38%,,,,,,,0.38%,,,0.38%,0.38%,0.38%,,0.38%,,,,,,,,0.38%,,0.38%,,,,,0.38%,,0.38%,,,,,,,,0.38%,,,,0.38%,,0.38%,0.38%,,,,,0.38%,,0.38%,,,,,,,,,,,,0.38%,,,,,0.38%,,0.38%,0.38%,,,,0.38%,,,,,,0.38%,,,,,0.38%,,,,,0.38%,,,,0.38%,,0.38%,,,,0.37%,,,,,,,,,0.37%,,,,,0.37%,,,,0.37%,,,,,,,0.37%,0.37%,,,0.37%,0.37%,,,,0.37%,,,,,0.37%,0.37%,,,,,
rell,,,,,2.71%,,,,,,,,2.71%,,2.71%,2.71%,2.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71%,,,,,,,,2.71%,,,,,,,,,,,,,,2.71%,,,,2.71%,2.71%,,,2.71%,2.71%,,,2.71%,,2.71%,,2.71%,2.71%,,,,,,,,,2.71%,2.71%,,,2.71%,,,,2.71%,,,,,,,,,2.71%,,,,,,,,,,2.71%,2.71%,2.71%,,,2.71%,,,2.71%,,2.71%,,,,,,,,,,,2.71%,,,,,,,,,,,,,,,2.71%,,,,,2.71%,,2.71%
renata,,,,,0.19%,,,,,,,,0.19%,,0.19%,0.19%,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19%,,,,,,,,0.19%,,,,,,,,,,,,,,0.19%,,,,0.20%,0.20%,,,0.20%,0.20%,,,0.20%,,0.20%,,0.20%,0.20%,,,,,,,,,0.20%,0.19%,,,0.19%,,,0.19%,,,,,,,,,,0.19%,,,,,,,,,,0.19%,0.19%,0.19%,,,0.19%,,,0.19%,,0.19%,,,,,,,,,,,0.20%,,,,,,,,,,,,,,,0.20%,,,,,0.20%,,0.20%
renekton,5.72%,,,,,,,,,,,,,,,,,,,5.72%,,5.72%,,5.72%,,,5.72%,,,,,,5.72%,,,5.72%,5.72%,5.72%,5.72%,,5.72%,,5.72%,,5.72%,5.72%,,,,5.72%,5.72%,,,,,,,,,5.72%,,5.72%,,,5.72%,,5.72%,,,,,,,,,5.72%,,,,,5.72%,,,,5.72%,,,,,,,5.72%,,5.72%,,,,,5.73%,,,,,,,,5.73%,5.73%,,,,,,5.73%,,5.73%,,5.73%,5.73%,,,,,,,,,,,,,5.72%,,,,5.72%,,,,5.73%,,,,,,,,,,,,,,,,,,5.74%,,,,,,,,
rengar,,,,,,5.05%,,,,,,,,5.05%,,,,5.05%,,,,,,,5.06%,,,5.06%,5.06%,5.06%,,5.06%,,,,,,,,5.06%,,5.06%,,,,,5.06%,,5.07%,,,,,,,,5.07%,,,,5.07%,,5.07%,5.07%,,,,,5.07%,,5.07%,,,,,,,,,,,,5.09%,,,,,5.09%,,5.09%,5.09%,,,,5.09%,,,,,,5.11%,5.11%,,,,,,,,,5.11%,,,,5.11%,,5.11%,,,,5.11%,,,,,,,,,5.12%,,,,,5.12%,,,,5.14%,,,,,,,5.15%,5.15%,,,5.15%,5.15%,,,,5.14%,,,,,5.14%,5.14%,,,,,
riven,3.77%,,,,,,,,,,,,,,,,,,,3.77%,,3.77%,,3.77%,,,3.77%,,,,,,3.77%,,,3.77%,3.77%,3.77%,3.77%,,3.77%,,3.77%,,3.77%,3.77%,,,,3.77%,3.77%,,,,,,,,,3.77%,,3.77%,,,3.77%,,3.77%,,,,,,,,,3.78%,,,,,3.78%,,,,3.78%,,,,,,,3.78%,,3.78%,,,,,3.79%,,,,,,3.79%,,,3.79%,,,,,,3.79%,,3.79%,,3.79%,3.79%,,,,,,,,,,,,,3.80%,,,,3.80%,,,,3.82%,,,,,,,,,,,,,,,,,,3.83%,,,,,,,,
rumble,0.58%,,,,,,,,,,,,,,,,,,,0.58%,,0.58%,,0.58%,,,0.58%,,,,,,0.58%,,,0.58%,0.58%,0.58%,0.58%,,0.58%,,0.58%,,0.58%,0.58%,,,,0.58%,0.58%,,,,,,,,,0.58%,,0.58%,,,0.58%,,0.58%,,,,,,,,,0.58%,,,,,0.58%,,,,0.58%,,,,,,,0.58%,,0.58%,,,,,0.58%,,,,,,0.58%,,0.58%,,,,,,,0.58%,,0.58%,,0.58%,0.58%,,,,,,,,,,,,,0.58%,,,,0.58%,,,,0.58%,,,,,,,,,,,,,,,,,,0.57%,,,,,,,,
ryze,0.64%,0.68%,0.68%,0.68%,,,0.68%,0.68%,,,0.68%,0.68%,,,,,,,,0.64%,0.68%,0.64%,,0.64%,,,0.64%,,,,,,0.64%,0.68%,0.68%,0.64%,0.64%,0.64%,0.64%,,0.64%,,0.64%,0.68%,0.64%,0.64%,,,,0.64%,0.64%,,,,,,,0.68%,0.68%,0.64%,,0.64%,,,0.64%,,0.64%,0.68%,,,,0.68%,,,,0.63%,0.67%,,,,0.63%,,,,0.63%,,,,,,,0.63%,0.67%,0.63%,,,,0.67%,0.63%,,,,,,0.63%,,0.63%,0.63%,,,,,,0.63%,,0.63%,,0.63%,0.63%,,,,,,,0.67%,0.67%,,0.67%,,,0.63%,,,,0.63%,0.67%,,,0.63%,,,0.67%,,0.67%,,,0.67%,0.67%,,,,,0.67%,,0.67%,0.67%,0.63%,,,,,,,0.67%,
