,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
chogath,3.21%,,3.21%,,,,,,,,,,,,,,,,,3.21%,3.21%,,,3.21%,,,3.21%,,,,,,3.21%,,3.21%,3.21%,3.21%,3.21%,3.21%,,3.21%,,3.21%,,3.21%,3.21%,,,,3.21%,3.21%,,,,,,,,,3.21%,,3.21%,,,3.21%,,3.21%,,,,,,,,,3.21%,,,,,3.21%,,,,3.21%,,,,,,,3.21%,,3.21%,3.21%,3.21%,,,3.21%,,,,,,3.21%,,3.21%,3.21%,3.21%,,,,,3.21%,,3.21%,,3.21%,3.21%,,,,,,,3.21%,,3.21%,,,,3.21%,,,3.21%,3.21%,,,3.21%,3.21%,3.21%,3.21%,,,,,,,3.21%,3.21%,3.21%,3.21%,,,,3.21%,3.21%,3.21%,,3.21%,,,,,,
corki,,,,,,,,,2.33%,2.33%,,,,,,,,,2.33%,,,,,,,2.33%,,,,,2.33%,,,,,,,,,,,,,2.33%,,,,,,,,2.33%,2.33%,2.33%,2.33%,,,,,,,,,,,2.33%,,,,,,,2.33%,,,,,,,2.33%,,,,,,,,,2.33%,,,,,,,,,,,,,,,,,,,,,2.33%,,2.33%,2.33%,,,,,,,2.33%,,2.33%,,,2.33%,,,,,,,,,2.33%,,,,2.33%,,,2.33%,2.33%,,,,,,,,,,2.33%,2.33%,,,2.33%,,,,,,2.33%,2.33%,,,
darius,5.74%,,5.74%,,,,,,,,,,,,,,,,,5.74%,5.74%,5.74%,,,,,5.74%,,,,,,5.74%,,5.74%,5.74%,5.74%,5.74%,5.74%,,5.74%,,5.74%,,5.74%,5.74%,,,,5.74%,5.74%,,,,,,,,,5.74%,,5.74%,,,5.74%,,5.74%,,,,,,,,,5.74%,,,,,5.74%,,,,5.74%,,,,,,,5.74%,,5.74%,5.74%,5.74%,,,5.74%,,,,,,5.74%,,5.74%,5.74%,5.74%,,,,,5.74%,,5.74%,,5.74%,5.74%,,,,,,,5.74%,,5.74%,,,,5.74%,,,5.74%,5.74%,,,5.74%,5.74%,5.74%,5.74%,,,,,,,5.74%,5.74%,5.74%,5.74%,,,,5.74%,5.74%,5.74%,,5.74%,,,,,,
diana,,,,,,5.33%,,,,,,,,5.33%,,,,5.33%,,,,,,,,,5.33%,5.33%,5.32%,5.33%,,5.33%,,,,,,,5.33%,5.33%,5.33%,5.33%,,,,,5.33%,,5.33%,5.33%,,,,,,,5.33%,,,,5.32%,,5.33%,5.32%,,,,,5.33%,,5.33%,,,,,,,,,,,,5.33%,,,,,5.33%,,5.33%,5.33%,,,,5.32%,5.33%,,5.33%,,,5.33%,5.32%,,,,5.33%,,,,,5.33%,,,,5.33%,,5.32%,,,,5.33%,,,,,,,,5.32%,5.33%,,,,,5.33%,,,,5.33%,,,,,,,5.33%,5.33%,,,5.33%,5.33%,5.32%,,,5.32%,,,,,5.33%,5.33%,,,,,5.33%
draven,,,,,,,,,4.13%,4.13%,,,,,,,,,4.13%,,,,4.13%,,,,,,,,4.13%,,,,,,,,,,,,,4.13%,,,,,,,,4.13%,4.13%,4.13%,4.13%,,,,,,,,,,,4.13%,,,,,,,4.13%,,,,,,,4.13%,,,,,,,,,4.13%,,,,,,,,,,,,,,,,,,,,,4.13%,,4.13%,4.13%,,,,,,,4.13%,,4.13%,,,4.13%,,,,,,,,,4.13%,,,,4.13%,,,4.13%,4.13%,,,,,,,,,,4.13%,4.13%,,,4.13%,,,,,,4.13%,4.13%,,,
drmundo,7.36%,,7.36%,,,,,,,,,,,,,,,,,7.36%,7.36%,7.36%,,7.36%,,,,,,,,,7.36%,,7.36%,7.36%,7.36%,7.36%,7.36%,,7.36%,,7.36%,,7.36%,7.36%,,,,7.36%,7.36%,,,,,,,,,7.36%,,7.36%,,,7.36%,,7.36%,,,,,,,,,7.36%,,,,,7.36%,,,,7.36%,,,,,,,7.36%,,7.36%,7.36%,7.36%,,,7.36%,,,,,,7.36%,,7.36%,7.36%,7.36%,,,,,7.36%,,7.36%,,7.36%,7.36%,,,,,,,7.36%,,7.36%,,,,7.36%,,,7.36%,7.36%,,,7.36%,7.36%,7.36%,7.36%,,,,,,,7.36%,7.36%,7.36%,7.36%,,,,7.36%,7.36%,7.36%,,7.36%,,,,,,
ekko,,,,,,6.36%,,,,,,,,6.36%,,,,6.36%,,,,,,,6.36%,,6.36%,,6.36%,6.36%,,6.36%,,,,,,,6.36%,6.36%,6.36%,6.36%,,,,,6.36%,,6.36%,6.36%,,,,,,,6.36%,,,,6.36%,,6.36%,6.36%,,,,,6.36%,,6.36%,,,,,,,,,,,,6.36%,,,,,6.36%,,6.36%,6.36%,,,,6.36%,6.36%,,6.36%,,,6.36%,6.36%,,,,6.36%,,,,,6.36%,,,,6.36%,,6.36%,,,,6.36%,,,,,,,,6.36%,6.36%,,,,,6.36%,,,,6.36%,,,,,,,6.36%,6.36%,,,6.36%,6.36%,6.36%,,,6.36%,,,,,6.36%,6.36%,,,,,6.36%
elise,,,,,,3.31%,,,,,,,,3.31%,,,,3.31%,,,,,,,3.31%,,3.31%,3.31%,,3.31%,,3.31%,,,,,,,3.31%,3.31%,3.31%,3.31%,,,,,3.31%,,3.31%,3.31%,,,,,,,3.31%,,,,3.31%,,3.31%,3.31%,,,,,3.31%,,3.31%,,,,,,,,,,,,3.31%,,,,,3.31%,,3.31%,3.31%,,,,3.31%,3.31%,,3.31%,,,3.31%,3.31%,,,,3.31%,,,,,3.31%,,,,3.31%,,3.31%,,,,3.31%,,,,,,,,3.31%,3.31%,,,,,3.31%,,,,3.31%,,,,,,,3.31%,3.31%,,,3.31%,3.31%,3.31%,,,3.31%,,,,,3.31%,3.31%,,,,,3.31%
evelynn,,,,,,2.68%,,,,,,,,2.68%,,,,2.68%,,,,,,,2.68%,,2.68%,2.68%,2.68%,,,2.68%,,,,,,,2.68%,2.68%,2.68%,2.68%,,,,,2.68%,,2.68%,2.68%,,,,,,,2.68%,,,,2.68%,,2.68%,2.68%,,,,,2.68%,,2.68%,,,,,,,,,,,,2.68%,,,,,2.68%,,2.68%,2.68%,,,,2.68%,2.68%,,2.68%,,,2.68%,2.68%,,,,2.68%,,,,,2.68%,,,,2.68%,,2.68%,,,,2.68%,,,,,,,,2.68%,2.68%,,,,,2.68%,,,,2.68%,,,,,,,2.68%,2.68%,,,2.68%,2.68%,2.68%,,,2.68%,,,,,2.68%,2.68%,,,,,2.68%
ezreal,,,,,,,,,13.74%,13.74%,,,,,,,,,13.74%,,,,13.74%,,,13.74%,,,,,,,,,,,,,,,,,,13.74%,,,,,,,,13.74%,13.74%,13.74%,13.74%,,,,,,,,,,,13.74%,,,,,,,13.74%,,,,,,,13.74%,,,,,,,,,13.74%,,,,,,,,,,,,,,,,,,,,,13.74%,,13.74%,13.74%,,,,,,,13.74%,,13.74%,,,13.74%,,,,,,,,,13.74%,,,,13.74%,,,13.74%,13.74%,,,,,,,,,,13.74%,13.74%,,,13.74%,,,,,,13.74%,13.74%,,,
