,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aurelionsol,,2.09%,2.09%,2.09%,,,2.09%,2.09%,,,,2.09%,,,,,,,,,2.09%,,,,,,,,,,,,,2.09%,2.09%,,,,,,,,,2.09%,,,,,,,,,,,,,,2.10%,2.10%,,,,,,,,,2.10%,,,,2.10%,,,,,2.10%,,,,,,,,,,,,,,,,2.10%,,,,,2.10%,,,,,,,,,,,2.10%,,,,,,,,,,,,,,,,,2.10%,2.10%,,2.10%,,,,,,,,2.10%,,,,,,2.10%,,2.10%,,,2.10%,2.10%,,,,,2.10%,,2.10%,2.10%,,,,,,,,2.10%,
azir,,2.77%,2.77%,2.77%,,,2.77%,2.77%,,,2.77%,,,,,,,,,,2.77%,,,,,,,,,,,,,2.76%,2.76%,,,,,,,,,2.76%,,,,,,,,,,,,,,2.76%,2.76%,,,,,,,,,2.76%,,,,2.76%,,,,,2.75%,,,,,,,,,,,,,,,,2.75%,,,,,2.75%,,,,,,,,,,,2.75%,,,,,,,,,,,,,,,,,2.75%,2.75%,,2.75%,,,,,,,,2.75%,,,,,,2.75%,,2.75%,,,2.75%,2.75%,,,,,2.74%,,2.74%,2.74%,,,,,,,,2.74%,
bard,,,,,5.50%,,,,,,,,,,5.50%,5.50%,5.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50%,,,,,,,,5.51%,,,,,,,,,,,,,,5.51%,,,,5.51%,5.51%,,,5.51%,5.51%,,,5.51%,,5.51%,,5.51%,5.51%,,,,,,,,,5.51%,5.51%,,,5.51%,,,5.51%,5.51%,,,,,,,,,5.51%,,,,,,,,,,5.51%,5.51%,5.51%,,,5.51%,,,5.51%,,5.51%,,,,,,,,,,,5.52%,,,,,,,,,,,,,,,5.51%,,,,,5.51%,,5.51%
belveth,,,,,,1.95%,,,,,,,,,,,,1.95%,,,,,,,1.95%,,,1.95%,1.95%,1.95%,,1.95%,,,,,,,,1.95%,,1.95%,,,,,1.95%,,1.95%,,,,,,,,1.95%,,,,1.95%,,1.95%,1.95%,,,,,1.95%,,1.95%,,,,,,,,,,,,1.95%,,,,,1.95%,,1.95%,1.95%,,,,1.95%,,,,,,1.95%,1.95%,,,,1.95%,,,,,1.95%,,,,1.95%,,1.95%,,,,1.95%,,,,,,,,,1.95%,,,,,1.95%,,,,1.95%,,,,,,,1.95%,1.95%,,,1.95%,1.95%,,,,1.95%,,,,,1.95%,1.95%,,,,,
blitzcrank,,,,,4.95%,,,,,,,,4.95%,,,4.95%,4.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95%,,,,,,,,4.94%,,,,,,,,,,,,,,4.94%,,,,4.93%,4.93%,,,4.93%,4.93%,,,4.93%,,4.93%,,4.93%,4.93%,,,,,,,,,4.93%,4.93%,,,4.93%,,,4.93%,4.93%,,,,,,,,,4.93%,,,,,,,,,,4.93%,4.93%,4.93%,,,4.93%,,,4.93%,,4.93%,,,,,,,,,,,4.92%,,,,,,,,,,,,,,,4.92%,,,,,4.92%,,4.92%
brand,,,,,1.45%,,,,,,,,1.45%,,1.45%,,1.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44%,,,,,,,,1.45%,,,,,,,,,,,,,,1.45%,,,,1.45%,1.45%,,,1.45%,1.45%,,,1.45%,,1.45%,,1.45%,1.45%,,,,,,,,,1.45%,1.45%,,,1.45%,,,1.45%,1.45%,,,,,,,,,1.45%,,,,,,,,,,1.45%,1.45%,1.45%,,,1.45%,,,1.45%,,1.45%,,,,,,,,,,,1.45%,,,,,,,,,,,,,,,1.45%,,,,,1.45%,,1.45%
braum,,,,,8.01%,,,,,,,,8.01%,,8.01%,8.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01%,,,,,,,,8.00%,,,,,,,,,,,,,,8.00%,,,,8.00%,8.00%,,,8.00%,8.00%,,,8.00%,,8.00%,,8.00%,8.00%,,,,,,,,,8.00%,8.00%,,,7.99%,,,7.99%,7.99%,,,,,,,,,7.99%,,,,,,,,,,7.99%,7.99%,7.99%,,,7.99%,,,7.99%,,7.99%,,,,,,,,,,,7.97%,,,,,,,,,,,,,,,7.96%,,,,,7.96%,,7.96%
briar,,,,,,3.97%,,,,,,,,3.97%,,,,,,,,,,,3.97%,,,3.97%,3.97%,3.97%,,3.97%,,,,,,,,3.97%,,3.97%,,,,,3.97%,,3.97%,,,,,,,,3.97%,,,,3.97%,,3.97%,3.97%,,,,,3.97%,,3.97%,,,,,,,,,,,,3.97%,,,,,3.97%,,3.97%,3.97%,,,,3.97%,,,,,,3.98%,3.98%,,,,3.98%,,,,,3.98%,,,,3.98%,,3.98%,,,,3.98%,,,,,,,,,3.99%,,,,,3.99%,,,,4.00%,,,,,,,4.00%,4.00%,,,4.00%,4.00%,,,,4.01%,,,,,4.01%,4.01%,,,,,
caitlyn,,,,,,,,,11.03%,11.03%,,,,,,,,,,,,,11.03%,,,11.03%,,,,,11.03%,,,,,,,,,,,,,,,,,,,,,11.06%,11.06%,11.06%,11.06%,,,,,,,,,,,11.06%,,,,,,,11.07%,,,,,,,11.07%,,,,,,,,,11.07%,,,,,,,,,,,,,,,,,,,,,11.08%,,11.08%,,,,,,,,11.08%,,11.09%,,,,,,,,,,,,11.09%,,,,11.11%,,,11.12%,11.12%,,,,,,,,,,,11.14%,,,,,,,,,11.14%,11.14%,,,
camille,3.68%,,,,,,,,,,,,,,,,,,,,,3.68%,,3.68%,,,3.68%,,,,,,3.68%,,,3.68%,3.68%,3.68%,3.68%,,3.68%,,3.68%,,3.68%,3.68%,,,,3.68%,3.68%,,,,,,,,,3.68%,,3.68%,,,3.68%,,3.68%,,,,,,,,,3.69%,,,,,3.69%,,,,3.69%,,,,,,,3.69%,,3.69%,,,,,3.69%,,,,,,3.69%,,3.69%,3.69%,,,,,,3.69%,,3.69%,,3.69%,3.69%,,,,,,,,,,,,,3.69%,,,,3.69%,,,,3.70%,,,,,,,,,,,,,,,,,,3.70%,,,,,,,,
