,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
bard,,,,,1.52%,,,,,1.52%,,,,,1.52%,1.52%,1.52%,,,,,,,,,,,,1.52%,,,1.52%,,,1.52%,,,,,,,,,1.52%,,,,1.52%,,,,,,,,1.52%,,,,,,,,,,,,1.52%,,1.52%,,,,1.52%,1.52%,,,1.52%,1.52%,,,1.52%,,1.52%,,1.52%,1.52%,1.52%,,,,,,,1.52%,1.52%,1.52%,,,1.52%,,,1.52%,1.52%,,,,,,,,1.52%,1.52%,,1.52%,1.52%,,,,,,,1.52%,1.52%,1.52%,1.52%,,1.52%,,,1.52%,1.52%,1.52%,,,,,,,,,,,1.52%,,,,,,,,1.52%,,1.52%,,,,,1.52%,,,,,1.52%,1.52%,1.52%
belveth,,,,,,3.81%,,,,,,,,,,,,3.81%,,,,,,,3.81%,,3.81%,3.81%,3.81%,3.81%,,3.81%,,,,,,,3.81%,3.81%,3.81%,3.81%,,,,,3.81%,,3.81%,3.81%,,,,,,,3.81%,,,,3.81%,,3.81%,3.81%,,,,,3.81%,,3.81%,,,,,,,,,,,,3.81%,,,,,3.81%,,3.81%,3.81%,,,,3.81%,3.81%,,3.81%,,,3.81%,3.81%,,,,3.81%,,,,,3.81%,,,,3.81%,,3.81%,,,,3.81%,,,,,,,,3.81%,3.81%,,,,,3.81%,,,,3.81%,,,,,,,3.81%,3.81%,,,3.81%,3.81%,3.81%,,,3.81%,,,,,3.81%,3.81%,,,,,3.81%
blitzcrank,,,,,12.59%,,,,,12.59%,,,12.59%,,,12.59%,12.59%,,,,,,,,,,,,12.59%,,,12.59%,,,12.59%,,,,,,,,,12.59%,,,,12.59%,,,,,,,,12.59%,,,,,,,,,,,,12.59%,,12.59%,,,,12.59%,12.59%,,,12.59%,12.59%,,,12.59%,,12.59%,,12.59%,12.59%,12.59%,,,,,,,12.59%,12.59%,12.59%,,,12.59%,,,12.59%,12.59%,,,,,,,,12.59%,12.59%,,12.59%,12.59%,,,,,,,12.59%,12.59%,12.59%,12.59%,,12.59%,,,12.59%,12.59%,12.59%,,,,,,,,,,,12.59%,,,,,,,,12.59%,,12.59%,,,,,12.59%,,,,,12.59%,12.59%,12.59%
brand,,,,,1.10%,,,,,1.10%,,,1.10%,,1.10%,,1.10%,,,,,,,,,,,,1.10%,,,1.10%,,,1.10%,,,,,,,,,1.10%,,,,1.10%,,,,,,,,1.10%,,,,,,,,,,,,1.10%,,1.10%,,,,1.10%,1.10%,,,1.10%,1.10%,,,1.10%,,1.10%,,1.10%,1.10%,1.10%,,,,,,,1.10%,1.10%,1.10%,,,1.10%,,,1.10%,1.10%,,,,,,,,1.10%,1.10%,,1.10%,1.10%,,,,,,,1.10%,1.10%,1.10%,1.10%,,1.10%,,,1.10%,1.10%,1.10%,,,,,,,,,,,1.10%,,,,,,,,1.10%,,1.10%,,,,,1.10%,,,,,1.10%,1.10%,1.10%
braum,,,,,14.42%,,,,,14.42%,,,14.42%,,14.42%,14.42%,,,,,,,,,,,,,14.42%,,,14.42%,,,14.42%,,,,,,,,,14.42%,,,,14.42%,,,,,,,,14.42%,,,,,,,,,,,,14.42%,,14.42%,,,,14.42%,14.42%,,,14.42%,14.42%,,,14.42%,,14.42%,,14.42%,14.42%,14.42%,,,,,,,14.42%,14.42%,14.42%,,,14.42%,,,14.42%,14.42%,,,,,,,,14.42%,14.42%,,14.42%,14.42%,,,,,,,14.42%,14.42%,14.42%,14.42%,,14.42%,,,14.42%,14.42%,14.42%,,,,,,,,,,,14.42%,,,,,,,,14.42%,,14.42%,,,,,14.42%,,,,,14.42%,14.42%,14.42%
briar,,,,,,4.25%,,,,,,,,4.25%,,,,,,,,,,,4.25%,,4.25%,4.25%,4.25%,4.25%,,4.25%,,,,,,,4.25%,4.25%,4.25%,4.25%,,,,,4.25%,,4.25%,4.25%,,,,,,,4.25%,,,,4.25%,,4.25%,4.25%,,,,,4.25%,,4.25%,,,,,,,,,,,,4.25%,,,,,4.25%,,4.25%,4.25%,,,,4.25%,4.25%,,4.25%,,,4.25%,4.25%,,,,4.25%,,,,,4.25%,,,,4.25%,,4.25%,,,,4.25%,,,,,,,,4.25%,4.25%,,,,,4.25%,,,,4.25%,,,,,,,4.25%,4.25%,,,4.25%,4.25%,4.25%,,,4.25%,,,,,4.25%,4.25%,,,,,4.25%
caitlyn,,,,,,,,,12.86%,12.86%,,,,,,,,,,,,,12.86%,,,12.86%,,,,,12.86%,,,,,,,,,,,,,12.86%,,,,,,,,12.86%,12.86%,12.86%,12.86%,,,,,,,,,,,12.86%,,,,,,,12.86%,,,,,,,12.86%,,,,,,,,,12.86%,,,,,,,,,,,,,,,,,,,,,12.86%,,12.86%,12.86%,,,,,,,12.86%,,12.86%,,,12.86%,,,,,,,,,12.86%,,,,12.86%,,,12.86%,12.86%,,,,,,,,,,12.86%,12.86%,,,12.86%,,,,,,12.86%,12.86%,,,
camille,1.44%,,1.44%,,,,,,,,,,,,,,,,,,1.44%,1.44%,,1.44%,,,1.44%,,,,,,1.44%,,1.44%,1.44%,1.44%,1.44%,1.44%,,1.44%,,1.44%,,1.44%,1.44%,,,,1.44%,1.44%,,,,,,,,,1.44%,,1.44%,,,1.44%,,1.44%,,,,,,,,,1.44%,,,,,1.44%,,,,1.44%,,,,,,,1.44%,,1.44%,1.44%,1.44%,,,1.44%,,,,,,1.44%,,1.44%,1.44%,1.44%,,,,,1.44%,,1.44%,,1.44%,1.44%,,,,,,,1.44%,,1.44%,,,,1.44%,,,1.44%,1.44%,,,1.44%,1.44%,1.44%,1.44%,,,,,,,1.44%,1.44%,1.44%,1.44%,,,,1.44%,1.44%,1.44%,,1.44%,,,,,,
cassiopeia,,1.22%,1.22%,1.22%,,,1.22%,1.22%,,,1.22%,1.22%,,,,,,,,,,1.22%,1.22%,,1.22%,,,1.22%,,,,,,1.22%,1.22%,1.22%,,,1.22%,,,,,1.22%,,1.22%,,,,,1.22%,,,,,,,1.22%,1.22%,1.22%,,1.22%,,,,,,1.22%,,,,1.22%,,,1.22%,1.22%,1.22%,,,,,1.22%,1.22%,,,,1.22%,,,,,,1.22%,,,,,1.22%,1.22%,,,,,,,,,,1.22%,,,,,,,,,,,,,1.22%,,,1.22%,1.22%,1.22%,,1.22%,1.22%,,,,1.22%,,,1.22%,,,,,,1.22%,1.22%,1.22%,,,1.22%,1.22%,,,1.22%,,1.22%,,1.22%,1.22%,,,,1.22%,,1.22%,,1.22%,
chogath,0.99%,,0.99%,,,,,,,,,,,,,,,,,0.99%,0.99%,,,0.99%,,,0.99%,,,,,,0.99%,,0.99%,0.99%,0.99%,0.99%,0.99%,,0.99%,,0.99%,,0.99%,0.99%,,,,0.99%,0.99%,,,,,,,,,0.99%,,0.99%,,,0.99%,,0.99%,,,,,,,,,0.99%,,,,,0.99%,,,,0.99%,,,,,,,0.99%,,0.99%,0.99%,0.99%,,,0.99%,,,,,,0.99%,,0.99%,0.99%,0.99%,,,,,0.99%,,0.99%,,0.99%,0.99%,,,,,,,0.99%,,0.99%,,,,0.99%,,,0.99%,0.99%,,,0.99%,0.99%,0.99%,0.99%,,,,,,,0.99%,0.99%,0.99%,0.99%,,,,0.99%,0.99%,0.99%,,0.99%,,,,,,
